Found 2 pods, using pod/sample-financial-api-7bf5cfb79f-2rksd
{"ts": 1786460440.6855075, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460442.3178546, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460450.6877744, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460452.318078, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460460.6856294, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460462.3174067, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460470.6878324, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460472.3178313, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460480.6852489, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460482.317962, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460490.6850572, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460492.3175364, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460500.686365, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460502.3183722, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460510.6860125, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460512.3179162, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460520.6852915, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460522.3182185, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460530.6856253, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460532.3179061, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460540.6866922, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460542.3185186, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460550.6855915, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460552.3179607, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460560.6869936, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460562.318369, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460570.6863801, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460572.317041, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460580.685672, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460582.3172095, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460590.6847813, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460592.3171186, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460600.684985, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460602.3179483, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460610.6853063, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460612.3173306, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460620.6861129, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460622.3174813, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460630.6848898, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460632.3177984, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460640.6860428, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460642.3170738, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460650.684779, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460652.3176775, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460660.685993, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460662.3188765, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460670.6865036, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460672.3173635, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460680.685877, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460682.3173037, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460690.6855867, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460692.3174675, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460700.6857688, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460702.3170054, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460710.6858475, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460712.3177404, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460720.685683, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460722.3173852, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460730.6857, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460732.317017, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460740.6858099, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460742.3174162, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460750.6859572, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460752.3185093, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460760.6861691, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460762.3186004, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460770.685413, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460772.3177423, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460780.6852303, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460782.3176959, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460790.6857712, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460792.3174567, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460800.6846669, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460802.3178306, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460810.6854508, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460812.3186948, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460820.685987, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460822.3179986, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460830.6870782, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460832.3180819, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460840.685097, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460842.317755, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460850.686029, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460852.3173847, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460860.6851356, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460862.3177972, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460870.6859417, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460872.317974, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460880.6857839, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460882.317371, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460890.6852014, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460892.3179488, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460900.6860533, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460902.317478, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460910.6861677, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460912.317616, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460920.686867, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460922.3174753, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460930.685875, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460932.3180835, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460940.685016, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460942.3181593, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460950.6868136, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460952.317433, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460960.6857917, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460962.3170378, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460970.6864135, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460972.3179715, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460980.684666, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460982.3178606, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460990.685688, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786460992.3179042, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461000.6858528, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461002.3177016, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461010.6868079, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461012.317474, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461020.6853518, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461022.3176742, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461030.6848621, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461032.3178725, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461040.6854708, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461042.317581, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461050.6856086, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461052.3174226, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461060.6862974, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461062.3169653, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461070.685668, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461072.3175867, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461080.6862106, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461082.3176768, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461090.6849966, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461092.3177166, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461100.6870284, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461102.3177843, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461110.6860485, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461112.317247, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461120.6856675, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461122.317451, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461130.685523, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461132.3173306, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461140.6856914, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461142.3171637, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461150.6864579, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461152.3186953, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461160.6858582, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461162.3174322, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461170.6886208, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461172.3173585, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461180.6854372, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461182.318098, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461190.6851535, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461192.3181636, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461200.6864278, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461202.3172524, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461210.684334, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461212.3191314, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461220.6857939, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461222.3180077, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461230.6857328, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461232.3177469, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461240.685949, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461242.3175416, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461250.6849833, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461252.3172743, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461260.6860173, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461262.3174932, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461270.6858666, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461272.3178432, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461280.6864612, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461282.3173645, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461290.6859987, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461292.3176398, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461300.6859865, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461302.3174207, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461310.684346, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461312.3174162, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461320.6852548, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461322.317316, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461330.6863916, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461332.3178039, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461340.685858, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461342.3178034, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461350.684858, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461352.317866, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461360.6854517, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461362.3176517, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461370.685923, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461372.3182178, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461380.6860316, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461382.317966, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461390.6878884, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461392.3179054, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461400.6856644, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461402.317993, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461410.6853876, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461412.3178217, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461420.6864097, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461422.3183506, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461430.6852572, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461432.3174167, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461440.685279, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461442.317829, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461450.6865668, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461452.3182707, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461460.6858337, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461462.3174813, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461470.6854298, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461472.3174548, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461480.6857843, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461482.3172648, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
{"ts": 1786461490.6846697, "client": "10.73.1.4", "message": "\"GET /healthz HTTP/1.1\" 200 -"}
